행정구역별(1),행정구역별(2),1월,1월,2월,2월,3월,3월,4월,4월,5월,5월,6월,6월,7월,7월,8월,8월,9월,9월,10월,10월,11월,11월,12월,12월
행정구역별(1),행정구역별(2),호수,면적(천㎡),호수,면적(천㎡),호수,면적(천㎡),호수,면적(천㎡),호수,면적(천㎡),호수,면적(천㎡),호수,면적(천㎡),호수,면적(천㎡),호수,면적(천㎡),호수,면적(천㎡),호수,면적(천㎡),호수,면적(천㎡)
경기도,여주시,91,7,96,7,77,6,100,7,318,24,185,13,156,12,710,59,104,8,153,11,201,14,1673,128
경기도,연천군,19,1,21,1,39,3,19,1,21,1,20,1,28,2,14,1,17,1,18,1,14,1,17,1
경기도,가평군,44,2,37,3,31,2,22,2,28,2,111,9,57,5,42,4,34,3,58,4,118,8,104,7
경기도,양평군,65,5,83,6,60,5,45,4,47,4,60,5,102,8,73,6,90,7,676,53,130,11,540,40
강원도,소계,4173,313,5080,375,3572,266,3156,231,3522,256,4514,333,4578,343,2909,206,3599,280,3209,242,3630,258,4606,325
강원도,춘천시,1114,90,1810,141,740,59,838,67,719,58,1099,89,927,75,521,40,507,39,525,40,643,50,796,60
강원도,원주시,1601,120,1765,130,1515,116,923,68,1510,112,1663,122,1253,92,989,70,1436,124,1156,99,1167,86,1707,123
강원도,강릉시,543,39,552,40,423,32,308,21,334,23,440,31,459,32,364,24,344,24,449,30,661,42,567,37
강원도,동해시,198,15,211,15,189,13,242,17,174,12,271,19,214,15,194,14,172,12,159,11,175,12,303,22
강원도,태백시,74,5,83,5,57,3,47,3,54,3,44,2,58,3,58,3,46,2,33,2,57,3,58,3
강원도,속초시,213,15,269,19,263,18,447,33,323,22,560,42,1144,93,339,25,642,50,439,32,454,34,692,50
강원도,삼척시,123,8,110,7,70,4,73,5,84,6,85,5,85,6,66,4,61,4,90,6,78,5,96,6
강원도,홍천군,40,3,43,3,44,3,40,2,35,2,28,2,40,2,52,3,43,3,40,2,41,3,53,3
강원도,횡성군,26,2,34,2,30,2,33,2,38,3,44,3,44,3,38,3,39,3,41,3,31,2,34,2
강원도,영월군,31,2,32,2,26,2,23,2,22,1,34,2,26,2,28,2,37,3,22,1,38,2,28,2
